Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,description_wiki
12245,Cardfight!! Vanguard: Lock On Victory!!,3DS,2014.0,Misc,FuRyu,0.0,0.0,0.07,0.0,0.07,no_data
12246,Jewel Quest IV: Heritage,DS,2011.0,Puzzle,iWin,0.0,0.05,0.0,0.01,0.06,no_data
12247,Atelier Meruru: Alchemist of Arland 3,PSV,2013.0,Role-Playing,Gust,0.0,0.0,0.06,0.0,0.06,no_data
12248,Hot Wheels: Burnin' Rubber,GBA,2001.0,Racing,THQ,0.05,0.02,0.0,0.0,0.06,"Hot Wheels
Burnin' Rubber
Développeur
Altron
Éditeur
AN/EUR THQ
JAP Altron
Date de sortie
AN 21 novembre 2001
EUR 22 février 2002
JAP 18 juillet 2002
Genre
Course
Mode de jeu
Solo, multijoueur
Plateforme
Game Boy Advance
modifier - modifier le code - modifier Wikidata"
12249,Ojyousama Express,PS,1998.0,Strategy,Media Works,0.0,0.0,0.06,0.0,0.06,no_data
12250,Jewel Link Chronicles: Mountains of Madness,DS,,Puzzle,Avanquest,0.0,0.06,0.0,0.01,0.06,no_data
12251,Chrysler Classic Racing,Wii,2008.0,Racing,Zoo Games,0.06,0.0,0.0,0.0,0.06,no_data
12252,Wings of War,XB,2004.0,Simulation,Take-Two Interactive,0.05,0.01,0.0,0.0,0.06,"Sur les autres projets Wikimedia :
Wings of War, sur Wikimedia Commons"
12253,Jam Sessions 2,DS,2009.0,Misc,Ubisoft,0.06,0.0,0.0,0.0,0.06,no_data
12254,Orcs & Elves,DS,2007.0,Role-Playing,Electronic Arts,0.06,0.0,0.0,0.01,0.06,"Cet article ne cite pas suffisamment ses sources (juillet 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
12255,187: Ride or Die,XB,2005.0,Racing,Ubisoft,0.05,0.01,0.0,0.0,0.06,no_data
12256,RPG Maker 3,PS2,2004.0,Role-Playing,Enterbrain,0.03,0.02,0.0,0.01,0.06,no_data
12257,Zatch Bell! Mamodo Battles,GC,2005.0,Fighting,Namco Bandai Games,0.05,0.01,0.0,0.0,0.06,Article détaillé : Personnages de Zatchbell.
12258,Motion Explosion!,X360,2011.0,Misc,505 Games,0.05,0.01,0.0,0.0,0.06,no_data
12259,Genkai Tokki Monster Monpiece,PSV,2013.0,Strategy,Idea Factory,0.0,0.0,0.06,0.0,0.06,no_data
12260,Desert Strike Advance,GBA,2002.0,Simulation,Electronic Arts,0.05,0.02,0.0,0.0,0.06,"Cet article ne cite pas suffisamment ses sources (janvier 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
12261,Kabuki Warriors,XB,2001.0,Action,Genki,0.05,0.01,0.0,0.0,0.06,"Kabuki Warriors
Développeur
Genki
Lightweight
Éditeur
AN Crave Entertainment
JAP Genki
Compositeur
Takayuki Nakamura
Date de sortie
AN 19 novembre 2001
JAP 28 février 2002
Genre
Combat
Mode de jeu
Solo, multijoueur
Plateforme
Xbox
modifier - modifier le code - modifier Wikidata"
12262,Gradius Collection,PSP,2006.0,Shooter,Konami Digital Entertainment,0.04,0.0,0.02,0.0,0.06,"Cet article ne cite pas suffisamment ses sources (septembre 2018).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
12263,Disney's Chicken Little: Ace In Action,DS,2006.0,Shooter,Disney Interactive Studios,0.06,0.0,0.0,0.0,0.06,no_data
12264,IL-2 Sturmovik: Birds of Prey,DS,2009.0,Simulation,505 Games,0.06,0.0,0.0,0.0,0.06,"IL-2 Sturmovik
Birds of Prey
Développeur
Gaijin Entertainment
DiP Interactive (Nintendo DS)
SME Dynamic Systems Ltd. (PSP)
Éditeur
505 Games
1C Company (CEI)
Compositeur
Jeremy Soule
Date de sortie
3 septembre 2009
Genre
Combat aérien
Mode de jeu
Solo, multijoueur
Plateforme
PlayStation 3, Xbox 360, Windows, Nintendo DS, PlayStation Portable
Langue
Anglais
Moteur
Dagor Engine (d)
Version
1.0.4.8
Évaluation
PEGI 7 (d)
Site web
www.airwargame.com
modifier - modifier le code - modifier Wikidata"
12265,Discworld,PS,1994.0,Adventure,Psygnosis,0.04,0.02,0.0,0.0,0.06,no_data
12266,The LEGO Movie Videogame,PC,2014.0,Action,Warner Bros. Interactive Entertainment,0.02,0.04,0.0,0.01,0.06,no_data
12267,Escape from Bug Island,Wii,2006.0,Action,Eidos Interactive,0.04,0.01,0.01,0.0,0.06,no_data
12268,World Poker Tour,XB,2005.0,Misc,Take-Two Interactive,0.05,0.01,0.0,0.0,0.06," [afficher]
v · m
Poker
 [afficher]
v · m
Les tournois majeurs de poker"
12269,Pirates: The Legend of Black Kat,XB,2002.0,Adventure,Electronic Arts,0.05,0.01,0.0,0.0,0.06,no_data
12270,Elite Forces: Unit 77,DS,2009.0,Strategy,Deep Silver,0.06,0.0,0.0,0.0,0.06,no_data
12271,July,DC,1998.0,Adventure,Fortyfive,0.0,0.0,0.06,0.0,0.06,Cette page d’homonymie répertorie les différentes œuvres portant le même titre.
12272,ESPN Winter X-Games: Snowboarding 2002,GBA,2000.0,Sports,Konami Digital Entertainment,0.05,0.02,0.0,0.0,0.06,no_data
12273,Bleach: Versus Crusade,Wii,2008.0,Fighting,Sega,0.0,0.0,0.06,0.0,0.06,"Cet article ne cite pas suffisamment ses sources (octobre 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
12274,Kanon,DC,2000.0,Adventure,NEC Interchannel,0.0,0.0,0.06,0.0,0.06,"Sur les autres projets Wikimedia :
kanon, sur le Wiktionnaire"
12275,NanoBreaker,PS2,2005.0,Action,Konami Digital Entertainment,0.03,0.02,0.0,0.01,0.06,"NanoBreaker
Développeur
Konami TYO
Éditeur
Konami
Réalisateur
Kenichiro Kato (directeur)
Koji Igarashi (producteur)
Producteur
Koji Igarashi
Date de sortie
JAP 27 janvier 2005
AN 15 février 2005
EUR 18 février 2005
Genre
Action, hack 'n' slash
Mode de jeu
Solo
Plateforme
PlayStation 2
Site web
www.konami.jp/gs/game/nb
modifier - modifier le code - modifier Wikidata"
12276,Bionicle,XB,2003.0,Action,Electronic Arts,0.05,0.01,0.0,0.0,0.06,"Bohrok
8560 Pahrak
8561 Nuhvok
8562 Gahlok
8563 Tahnok
8564 Lehvak
8565 Kohrak
Bohrok Va
8550 Gahlok Va
8551 Kohrak Va
8552 Lehvak Va
8553 Pahrak Va
8554 Tahnok Va
8555 Nuhvok Va
Toa Nuva
8566 Onua Nuva
8567 Lewa Nuva
8568 Pohatu Nuva
8570 Gali Nuva
8571 Kopaka Nuva
8572 Tahu Nuva
Titans
8556 Boxor
8557 Exo-Toa
8558 Cahdok & Gahdok
Edition spéciale
10023 Bionicle Master Builder"
12277,My Pet Shop,DS,2008.0,Simulation,Square Enix,0.06,0.0,0.0,0.0,0.06,no_data
12278,Guitar Freaks 3rdMIX & DrumMania 2ndMIX,PS2,2000.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06,no_data
12279,Miami Vice: The Game,PSP,2006.0,Shooter,Activision,0.06,0.0,0.0,0.0,0.06,"Miami Vice
The Game
Développeur
Rebellion Developments
Éditeur
Vivendi Games
Sierra Entertainment
Date de sortie
2006
Genre
Jeu de tir à la troisième personne
Mode de jeu
Un joueur
Plateforme
PlayStation Portable
Site web
miamivicepsp.com
modifier - modifier le code - modifier Wikidata"
12280,Santa Claus Is Comin' to Town!,Wii,2011.0,Puzzle,Crave Entertainment,0.06,0.0,0.0,0.0,0.06,no_data
12281,BMX XXX,GC,2002.0,Sports,Acclaim Entertainment,0.05,0.01,0.0,0.0,0.06,"BMX XXX
Développeur
Z-Axis
Éditeur
Acclaim Entertainment (État de New York, USA)
Date de sortie
GameCube :
USA : 24 novembre 2002
FRA : 31 janvier 2003

PlayStation 2 :
USA : 16 novembre 2002
FRA : 13 décembre 2002

Xbox :
USA : 10 novembre 2002
FRA : 6 décembre 2002
Genre
Sport (BMX)
Mode de jeu
Un à deux joueur(s)
Plateforme
GameCube, PlayStation 2, Xbox
Langue
français
Évaluation
ESRB : M ?
PEGI : 16+ ?
modifier - modifier le code - modifier Wikidata"
12282,Broken Sword 5: The Serpent's Curse,PS4,2015.0,Adventure,Revolution Software,0.0,0.06,0.0,0.01,0.06,no_data
12283,Disney's Magical Quest 2 Starring Mickey and Minnie,GBA,2003.0,Action,Capcom,0.05,0.02,0.0,0.0,0.06,"Cet article ne cite pas suffisamment ses sources (octobre 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
12284,Aggressive Inline,XB,2002.0,Sports,Acclaim Entertainment,0.05,0.01,0.0,0.0,0.06,"Aggressive Inline
Développeur
Z-Axis Ltd.
Full Fat (GBA)
Éditeur
Acclaim
Date de sortie
2002
Genre
Jeu vidéo de sport
Mode de jeu
Solo, multijoueur
Plateforme
Game Boy Advance, GameCube, PlayStation 2, Xbox
modifier - modifier le code - modifier Wikidata"
12285,Western Riding Academy,DS,2010.0,Simulation,Destineer,0.06,0.0,0.0,0.0,0.06,no_data
12286,My Pet Chimp,DS,2010.0,Simulation,505 Games,0.06,0.0,0.0,0.0,0.06,no_data
12287,Frogger: Helmet Chaos,DS,2005.0,Platform,Konami Digital Entertainment,0.06,0.0,0.0,0.0,0.06,"Frogger
Helmet Chaos
Développeur
Konami Computer Entertainment Hawaii
Éditeur
Konami
Date de sortie
AN 29 septembre 2005
EUR 17 février 2006
Franchise
Frogger (d)
Genre
Action, plates-formes
Mode de jeu
Solo, multijoueur
Plateforme
Nintendo DS, PlayStation Portable
Évaluation
PEGI 3 (d)
modifier - modifier le code - modifier Wikidata"
12288,Ikki Tousen: Xross Impact,PSP,2010.0,Action,Marvelous Interactive,0.0,0.0,0.06,0.0,0.06,no_data
12289,Bullet Girls,PSV,2014.0,Action,D3Publisher,0.0,0.0,0.06,0.0,0.06,no_data
12290,Paws & Claws: Marine Rescue,DS,2011.0,Simulation,THQ,0.06,0.0,0.0,0.0,0.06,no_data
12291,Super Mahjong 2: Honkaku 4Jin Uchi,SNES,1993.0,Misc,Imax,0.0,0.0,0.06,0.0,0.06,no_data
12292,XGRA: Extreme G Racing Association,PS2,2003.0,Racing,Acclaim Entertainment,0.03,0.02,0.0,0.01,0.06,"XGRA
Extreme-G Racing Association
Développeur
Acclaim Cheltenham
Éditeur
Acclaim
Date de sortie
2003
Genre
Course
Mode de jeu
Multijoueur, solo
Plateforme
GameCube, PlayStation 2, Xbox
Extreme-G
XG3: Extreme-G Racing (2001) -
modifier - modifier le code - modifier Wikidata"
12293,Cabela's Trophy Bucks,Wii,2008.0,Sports,Activision Value,0.06,0.0,0.0,0.0,0.06,no_data
12294,Mitsukete! Keroro Gunsou: Machigai Sagashi Daisakusen de Arimasu!,DS,2007.0,Action,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06,no_data
12295,Pop'n Music Portable 2,PSP,2011.0,Misc,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06,no_data
12296,Fist of the North Star: Ken's Rage 2,X360,2012.0,Fighting,Tecmo Koei,0.03,0.01,0.02,0.0,0.06,"Fist of the North Star
Ken's Rage 2
Développeur
Koei
Éditeur
Tecmo Koei
Date de sortie
PlayStation 3, Xbox 360
JAP 20 décembre 2012
AN 5 février 2013
EUR 8 février 2013
Wii U
JAP 31 janvier 2013
AN/EUR 7 février 2013
Franchise
Dynasty Warriors
Genre
Hack 'n' slash
Mode de jeu
Solo, multijoueur
Plateforme
Wii U, PlayStation 3, Xbox 360
Site web
www.kensrage.com/2
modifier - modifier le code - modifier Wikidata"
12297,Smart Boy's Toys Club,DS,2008.0,Misc,505 Games,0.06,0.0,0.0,0.0,0.06,no_data
12298,Ys vs. Sora no Kiseki: Alternative Saga,PSP,2010.0,Fighting,Falcom Corporation,0.0,0.0,0.06,0.0,0.06,"Ys vs. Sora no Kiseki
Alternative Saga
Développeur
Nihon Falcom
Éditeur
Nihon Falcom
Date de sortie
JAP 29 juillet 2010
Franchise
Trails et Ys
Genre
Combat
Mode de jeu
Solo
Plateforme
PlayStation Portable
Langue
Japonais
Site web
www.falcom.co.jp/ys_vs_sora/top.html
modifier - modifier le code - modifier Wikidata"
12299,Naruto: Ultimate Ninja Heroes (JP sales),PSP,2006.0,Fighting,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06,no_data
12300,Max & the Magic Marker,DS,2011.0,Platform,Unknown,0.0,0.06,0.0,0.0,0.06,"Max
and the Magic Marker
Développeur
Press Play
Éditeur
Press Play
Début du projet
2007
Date de sortie
janvier et février 2010
Genre
Plates-formes, réflexion
Mode de jeu
Solo
Plateforme
Wii (WiiWare), Mac OS X, Windows, Nintendo DS, iOS, Windows Phone
Langue
Anglais, Français, Allemand, Italien, Suédois, Danois, Néerlandais, Espagnol
Moteur
Unity
Évaluation
PEGI 7 (d)
Site web
www.the-games-company.com/en/games/pc/maxmm
Max: The Curse of Brotherhood
modifier - modifier le code - modifier Wikidata"
12301,Legend of the Dragon,Wii,2007.0,Fighting,Game Factory,0.06,0.0,0.0,0.0,0.06,"Legend of the Dragon
Données clés
Titre original 龍的傳人
Lung dik chuen yan
Réalisation Danny Lee
Scénario Law Kam-fai
Acteurs principaux
Stephen Chow
Teresa Mo
Bryan Leung
Yuen Wah
Sociétés de production Magnum Films
Pays de production Hong Kong
Genre Comédie d'action
Durée 96 minutes
Sortie 1991
Pour plus de détails, voir Fiche technique et Distribution"
12302,Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,DS,2008.0,Adventure,Marvelous Interactive,0.0,0.0,0.06,0.0,0.06,no_data
12303,Ray Tracers,PS,1997.0,Racing,Sony Computer Entertainment,0.04,0.02,0.0,0.0,0.06,no_data
12304,Monster Madness: Grave Danger,PS3,2008.0,Shooter,SouthPeak Games,0.05,0.01,0.0,0.01,0.06,no_data
12305,Sprung - A Game Where Everyone Scores,DS,2004.0,Adventure,Ubisoft,0.06,0.0,0.0,0.0,0.06,no_data
12306,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 14: CR Shinseiki Evangelion: Saigo no Mono,PS2,2009.0,Misc,D3Publisher,0.0,0.0,0.06,0.0,0.06,no_data
12307,Nicola Kanshuu: Model * Oshare Audition,DS,2010.0,Misc,Alchemist,0.0,0.0,0.06,0.0,0.06,no_data
12308,Rugby 15,PSV,2015.0,Sports,Bigben Interactive,0.0,0.05,0.0,0.01,0.06,"Rugby 15
Développeur
HB studio
Éditeur
Bigben interactive
Distributeur
Bigben interactive (France)
Scénariste
Bigben interactive (France)
Date de sortie
EU: 21 novembre 2014
JP: 21 novembre 2014
UK: 23 janvier 2015
NA: 10 février 2015
Genre
Jeu de sport
Mode de jeu
Un joueur, multijoueur
Plateforme
Ordinateur(s) :
Windows
Console(s) :
PS3, PS4, PS Vita, Xbox 360, Xbox One
Langue
Multilingue
Évaluation
PEGI : 3 ?
USK : 0 ?
Site web
rugby-thegame.com
Rugby (d)
- Rugby 18
modifier - modifier le code - modifier Wikidata"
12309,Kururin Paradise,GBA,2002.0,Puzzle,Unknown,0.0,0.0,0.06,0.0,0.06,"Kururin Paradise
Développeur
Eighting
Éditeur
Nintendo
Compositeur
Atsuhiro Motoyama (en)
Date de sortie
JAP 6 décembre 2002
Genre
Action, réflexion
Mode de jeu
Solo, multijoueur
Plateforme
Game Boy Advance
modifier - modifier le code - modifier Wikidata"
12310,Kiniro no Corda 2,PS2,2007.0,Role-Playing,Tecmo Koei,0.0,0.0,0.06,0.0,0.06,no_data
12311,Fast Food Panic,Wii,2009.0,Simulation,Nobilis,0.06,0.0,0.0,0.0,0.06,no_data
12312,Samurai Warriors Chronicles 3,PSV,2014.0,Action,Tecmo Koei,0.0,0.0,0.06,0.0,0.06,no_data
12313,Dynasty Warriors Vs,3DS,2012.0,Action,Ackkstudios,0.0,0.0,0.06,0.0,0.06,no_data
12314,Another Code R: A Journey into Lost Memories,Wii,2009.0,Adventure,Nintendo,0.0,0.03,0.03,0.0,0.06,no_data
12315,Gallop Racer 2004,PS2,2004.0,Sports,Zoo Digital Publishing,0.03,0.02,0.0,0.01,0.06,no_data
12316,Rayman: Hoodlum's Revenge,GBA,2005.0,Platform,Ubisoft,0.05,0.02,0.0,0.0,0.06,no_data
12317,Sunrise Eiyuutan R,PS2,2000.0,Role-Playing,Sunrise Interactive,0.0,0.0,0.06,0.0,0.06,no_data
12318,Mobile Suit Gundam Seed: Never Ending Tomorrow,PS2,2004.0,Shooter,Namco Bandai Games,0.03,0.02,0.0,0.01,0.06,no_data
12319,The Book of Unwritten Tales: The Critter Chronicles,PC,2011.0,Action,Crimson Cow,0.0,0.05,0.0,0.01,0.06,"The Book of Unwritten Tales
The Critter Chronicles
Développeur
King Art Games
Éditeur
Nordic Games
Date de sortie
5 décembre 2012
Genre
Aventure en pointer-et-cliquer
Mode de jeu
Solo
Plateforme
Windows, Mac, Linux
Langue
Allemand
Moteur
OGRE
modifier - modifier le code - modifier Wikidata"
12320,Octomania,Wii,2007.0,Puzzle,Midas Interactive Entertainment,0.06,0.0,0.0,0.0,0.06,no_data
12321,F1 2001,XB,2001.0,Racing,Electronic Arts,0.05,0.01,0.0,0.0,0.06,Article détaillé : Réglementation de la Formule 1 2001.
12322,Fishing Master (jp sales),Wii,2007.0,Sports,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06,no_data
12323,Zill O'll Infinite Plus,PSP,2009.0,Role-Playing,Tecmo Koei,0.0,0.0,0.06,0.0,0.06,no_data
12324,Pawly Pets: My Vet Practice,DS,2007.0,Strategy,Ubisoft,0.0,0.06,0.0,0.01,0.06,no_data
12325,Tonka Rescue Patrol,GC,2003.0,Action,TDK Mediactive,0.05,0.01,0.0,0.0,0.06,no_data
12326,GunGriffon II,SAT,1998.0,Simulation,ESP,0.0,0.0,0.06,0.0,0.06,no_data
12327,Crimson Gem Saga,PSP,2008.0,Role-Playing,Sega,0.06,0.0,0.0,0.0,0.06,no_data
12328,Legend of Kay,PS4,2015.0,Action,Nordic Games,0.02,0.03,0.0,0.01,0.06,"Legend of Kay
Développeur
Neon Studios
Éditeur
JoWooD Entertainment
Compositeur
Jake Kaufman
Date de sortie
2005
Genre
Action-aventure
Mode de jeu
Solo
Plateforme
PlayStation 2, Nintendo DS, PlayStation 3, PlayStation 4, Wii U, Windows, Mac OS, Xbox 360
Langue
Anglais, français, italien, allemand, espagnol
Moteur
RenderWare
modifier - modifier le code - modifier Wikidata"
12329,Order Up!!,PS3,2011.0,Action,Funbox Media,0.04,0.01,0.0,0.01,0.06,"Order Up!
Développeur
SuperVillain Studios
Éditeur
AN Zoo Games
EUR Funbox Media
Chillingo (iOS)
Date de sortie
Wii
AN 22 juillet 2008
EUR 24 octobre 2008
PlayStation 3
EUR 9 décembre 2011
AN 1er mars 2012
Nintendo 3DS
EUR 9 décembre 2011
AN 21 juin 2012
iOS, Android
19 janvier 2012
Genre
Simulation
Mode de jeu
Solo, multijoueur (seulement sur PS3 et 3DS)
Plateforme
Console(s) :
Wii, PlayStation 3
Console(s) portable(s) :
Nintendo 3DS
Téléphone(s) mobile(s) :
iOS, Android
Version
1.2
modifier - modifier le code - modifier Wikidata"
12330,Steambot Chronicles: Battle Tournament,PSP,2008.0,Fighting,Irem Software Engineering,0.05,0.0,0.01,0.0,0.06,no_data
12331,Bomberman Land,PSP,2007.0,Misc,Hudson Entertainment,0.06,0.0,0.0,0.01,0.06,no_data
12332,Spy Fox in Dry Cereal,Wii,2008.0,Adventure,Majesco Entertainment,0.06,0.0,0.0,0.0,0.06,no_data
12333,Cel Damage,GC,2002.0,Racing,Electronic Arts,0.05,0.01,0.0,0.0,0.06,"Cel Damage
Développeur
Pseudo Interactive
Finish Line Games (HD)
Éditeur
Electronic Arts
Play It!
Date de sortie
Xbox
AN : 15 novembre 2001
EUR : 3 mai 2002

GameCube
AN : 7 janvier 2002
EUR : 3 mai 2002

PlayStation 2
EUR : 12 décembre 2002

PlayStation 3, 4, Vita
AN : 22 avril 2014
EUR : 14 mai 2014
Genre
Combat motorisé
Mode de jeu
Un joueur, multijoueur
Plateforme
GameCube, Xbox, PlayStation 2, PlayStation 3, PlayStation 4, PlayStation Vita
Site web
www.celdamage.ea.com/index.html
modifier - modifier le code - modifier Wikidata"
12334,Lego Batman 3: Beyond Gotham,PC,2014.0,Action,Warner Bros. Interactive Entertainment,0.0,0.06,0.0,0.01,0.06,"Cet article ne cite pas suffisamment ses sources (décembre 2015).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
12335,Killer Instinct (2013),XOne,2013.0,Fighting,Microsoft Game Studios,0.03,0.03,0.0,0.01,0.06,no_data
12336,Famicom Mini: Balloon Fight,GBA,2004.0,Action,Nintendo,0.0,0.0,0.06,0.0,0.06,no_data
12337,Steins;Gate: Senkei Kousoku no Phonogram,PS3,2013.0,Adventure,5pb,0.0,0.0,0.06,0.0,0.06,no_data
