Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,description_wiki
29,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,"Gran Turismo 3
A-spec
Logo officiel du jeu
Développeur
Polyphony Digital
Éditeur
Sony Computer Entertainment
Réalisateur
Kazunori Yamauchi
Compositeur
Daiki Kasho
Isamu Ohira
Producteur
Kazunori Yamauchi
Date de sortie
28 avril 2001
10 juillet 2001
20 juillet 20011
Genre
Course automobile
Mode de jeu
Un joueur, multijoueur (réseau local)
Plateforme
PlayStation 2
Langue
Multilingue
Évaluation
ESRB : E ?
PEGI : 3+ ?
USK : 0 ?
Site web
https://www.gran-turismo.com
Gran Turismo
Gran Turismo 2 (1999) Gran Turismo 4 (2004)
modifier - modifier le code - modifier Wikidata"
30,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,"Afrique du Sud
Allemagne
Arabie saoudite
Australie
Algérie
Autriche
Belgique
Brésil
Canada
Chine
Corée du Sud
Danemark
Émirats arabes unis
Espagne
États-Unis
Finlande
France
Grèce
Hong Kong
Inde
Iran
Irlande
Italie
Japon
Mexique
Norvège
Nouvelle-Zélande
Pays-Bas
Philippines
Pologne
Portugal
République tchèque
Royaume-Uni
Russie
Salvador
Singapour
Suède
Suisse
Taïwan
Turquie"
31,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,no_data
32,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,"Cette section est vide, insuffisamment détaillée ou incomplète. Votre aide est la bienvenue ! Comment faire ?"
33,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,no_data
34,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,no_data
35,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,"afficher
Cette section ne cite pas suffisamment ses sources (juillet 2017). "
36,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,"afficher
Cette section ne cite pas suffisamment ses sources (juillet 2017). "
37,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,"Pour le jeu vidéo de 2022, voir Call of Duty: Modern Warfare II."
38,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,"Afrique du Sud
Allemagne
Arabie saoudite
Australie
Algérie
Autriche
Belgique
Brésil
Canada
Chine
Corée du Sud
Danemark
Émirats arabes unis
Espagne
États-Unis
Finlande
France
Grèce
Hong Kong
Inde
Iran
Irlande
Italie
Japon
Mexique
Norvège
Nouvelle-Zélande
Pays-Bas
Philippines
Pologne
Portugal
République tchèque
Royaume-Uni
Russie
Salvador
Singapour
Suède
Suisse
Taïwan
Turquie"
39,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,"Grand Theft Auto III
Logo officiel de Grand Theft Auto III.
Développeur
DMA Design (PS2, PC)
Rockstar Vienna (Xbox)
Éditeur
Take-Two Interactive
Scénariste
Dan Houser
James Worrall
Paul Kurowski
Compositeur
Craig Conner
Stuart Ross
Producteur
Leslie Benzies
Début du projet
1999
Date de sortie
PlayStation 2
USA : 22 octobre 2001
EUR : 26 octobre 2001
JAP : 25 septembre 2003
Windows
USA : 20 mai 2002
EUR : 24 mai 2002
JAP : 25 septembre 2003
Xbox
USA : 31 octobre 2003
EUR : 2 janvier 2004
JAP : 29 juillet 2004
Genre
Action-aventure, conduite, tir en vue à la troisième personne
Mode de jeu
Un joueur
Plateforme
Ordinateur(s) :
Windows
Console(s) :
PlayStation 2, PlayStation 3, PlayStation 4, Xbox
Téléphone(s) mobile(s) :
Android, iOS
Langue
Multilingue
Moteur
RenderWare
Version
1.1 (Windows)
Évaluation
BBFC : 18 ?
ESRB : M ?
OFLC (AU) : MA15+ ?
PEGI : 18 ?
PS2
CERO : 18
PC
ELSPA : 18+
Site web
www.rockstargames.com/grandtheftauto3
Grand Theft Auto
Grand Theft Auto 2 (1999) Vice City (2002)
modifier - modifier le code - modifier Wikidata"
40,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,"Super Smash Bros. Brawl
Développeur
Sora
Éditeur
Nintendo
Réalisateur
Masahiro Sakurai
Scénariste
Kazushige Nojima1
Masahiro Sakurai
Compositeur
Keigo Ozaki
Kentaro Ishizaka
Masaaki Iwasaki
Nobuo Uematsu
Shogo Sakai
Takahiro Nishi
Yutaka Iraha
Producteur
Akiya Sakamoto
Keisuke Terasaki
Kensuke Tanabe
Début du projet
Octobre 20052
Date de sortie
JAP : 31 janvier 2008
AN : 9 mars 2008
AUS : 26 juin 2008
EUR : 27 juin 20083
Genre
Combat4
Plates-formes
Mode de jeu
Local
1 à 4 joueurs
En ligneA 1
2 à 4 joueurs
Plateforme
Wii4
Moteur
Havok5
Évaluation
CERO : A ?6
ESRB : T ?1
OFLC (AU) : PG ?7
PEGI : 12+ ?4
Site web
Site officiel
Super Smash Bros.
Super Smash Bros. Melee (2001) Super Smash Bros. for Nintendo 3DS / for Wii U (2014)
modifier - modifier le code - modifier Wikidata"
41,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,"Cette section est vide, insuffisamment détaillée ou incomplète. Votre aide est la bienvenue ! Comment faire ?"
42,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,"L'échelle de Jacob est une fleur apparaissant dans le village, si celui-ci est bien entretenu."
43,Mario Kart 7,3DS,2011.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,"Mario Kart 7
Logo officiel de Mario Kart 7.
Développeur
Nintendo EAD
Retro Studios
Éditeur
Nintendo
Réalisateur
Hideki Konno (producteur)
Kosuke Yabuki (directeur)
Compositeur
Kenta Nagata
Satomi Terui
Producteur
Hideki Konno
Début du projet
Janvier 2010
Date de sortie
Nintendo 3DS
JAP : 1er décembre 2011
EUR : 2 décembre 2011
AUS : 3 décembre 2011
AN : 4 décembre 2011
Nintendo eShop
EUR : 4 octobre 2012
AUS : 4 octobre 2012
AN : 18 octobre 2012
JAP : 1er novembre 2012
Genre
Course
Combat motorisé
Mode de jeu
Local
1 à 4 joueurs
En ligne
2 à 8 joueurs
Plateforme
Nintendo 3DS
Langue
Multilingue
Version
1.2.0
Évaluation
ACB : G ?
CERO : A ?
ESRB : E ?
PEGI : 3 ?
Site web
Site officiel
Mario Kart
Mario Kart Wii Mario Kart 8
modifier - modifier le code - modifier Wikidata"
44,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,"Pour les articles homonymes, voir Halo."
45,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,"Los Angeles et sa campagne, retranscrites dans le jeu avec Los Santos et Blaine County."
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,no_data
47,Super Mario 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,"Super Mario 64
Logo du jeu.
Développeur
Nintendo EAD
Éditeur
Nintendo
Réalisateur
Shigeru Miyamoto (réalisateur, producteur)
Hiroshi Yamauchi (producteur délégué)
Yoshiaki Koizumi (directeur adjoint)
Takashi Tezuka (directeur adjoint)1
Compositeur
Kōji Kondō
Début du projet
7 septembre 1994
Date de sortie
Nintendo 64 :
JAP : 23 juin 1996
USA : 26 septembre 1996
EUR : 1er mars 1997
FRA : 1er septembre 19972,3

iQue Player :
CHN : 21 novembre 2003

Console virtuelle :
USA : 19 novembre 2006
JAP : 2 décembre 2006
EUR : 8 décembre 2006
4
Nintendo Switch :
INT : 18 septembre 2020
Genre
Plates-formes
Mode de jeu
Un joueur
Plateforme
Nintendo 64, iQue Player, Console virtuelle, Nintendo Switch
Langue
Français, Anglais, Allemand, Japonais
Évaluation
ESRB : KA ?
OFLC (AU) : G ?
Super Mario et Super Mario 64 (d)
Super Mario World 2: Yoshi's Island Super Mario Sunshine (2002)
modifier - modifier le code - modifier Wikidata"
48,Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,"Cet article pourrait être amélioré en traduisant l'article de Wikipédia en anglais : Gran Turismo 4.
anglais - Gran Turismo 4
Si vous connaissez bien la langue suggérée, vous pouvez faire cette traduction. Découvrez comment."
49,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,"Super Mario Galaxy
Logo de Super Mario Galaxy.
Développeur
Nintendo EAD Tokyo
Éditeur
Nintendo
Réalisateur
Yoshiaki Koizumi (réalisateur),
Shigeru Miyamoto (producteur, idée originale),
Koichi Hayashida (directeur du level design),
Takao Shimizu (producteur)1,2
Compositeur
Mahito Yokota, Koji Kondo
Producteur
Shigeru Miyamoto
Début du projet
2004
Date de sortie
Wii
JAP : 1er novembre 2007
AN : 12 novembre 2007
EUR : 16 novembre 2007
AUS : 22 novembre 20073

Nintendo Switch :
INT : 18 septembre 2020
Genre
Plates-formes
Mode de jeu
Un ou deux joueur(s)
Plateforme
Wii, Console virtuelle (Wii U), Nintendo Switch, Nvidia Shield4
Langue
Multilingue
Évaluation
ESRB : E ?5
PEGI : 3+ ?6
Site web
www.nintendo.co.jp/wii/rmgj
Super Mario et Super Mario Galaxy (d)
Super Mario 64 DS (2005) Super Mario Galaxy 2 (2010)
modifier - modifier le code - modifier Wikidata"
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,no_data
51,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,"Cette section est vide, insuffisamment détaillée ou incomplète. Votre aide est la bienvenue ! Comment faire ?"
52,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,"Grand Theft Auto IV
Logo officiel de Grand Theft Auto IV.
Développeur
Rockstar North
Éditeur
Rockstar Games
Distributeur
Take-Two Interactive
Réalisateur
Simon Lashley, Keith McLeman1
Scénariste
Dan Houser
Rupert Humphries
Compositeur
Michael Hunter
Producteur
Leslie Benzies
Début du projet
20042
Date de sortie
PlayStation 3, Xbox 3603,4
INT : 29 avril 2008
JAP : 30 octobre 2008

Microsoft Windows5
AN : 2 décembre 2008
PAL : 3 décembre 2008
JAP : 20 mars 2009

Rockstar Games Launcher
INT : 19 mars 2020
Genre
Action-aventure, conduite, tir à la troisième personne
Mode de jeu
Un joueur, multijoueur (16 joueurs maximum sur consoles PS33 et Xbox 3604, 32 joueurs maximum sur Ordinateur6)
Plateforme
PlayStation 3, Xbox 360, Windows et Xbox One (rétrocompatible7)
Langue
Sous-titres et menus : Français
Dialogues : Anglais
Moteur
RAGE
Euphoria (moteur des mouvements)8
Version
Playstation 3 : 1.07
Xbox 360 : 1.04
Ordinateur : 1.0.8.0
Évaluation
ACB : MA15+ ?9
BBFC : 18 ?10,11
ESRB : M ?
OFLC (NZ) : R18 ?12
PEGI : 18+ ?13
Site web
www.rockstargames.com/IV
Grand Theft Auto
San Andreas (2004) GTA V (2013)
modifier - modifier le code - modifier Wikidata"
53,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,"Gran Turismo
Logo officiel de Gran Turismo
Genre
Course automobile
Développeur
Polyphony Digital
Éditeur
Sony Computer Entertainment
Personnalité clé
Kazunori Yamauchi
Premier jeu
1997 : Gran Turismo
Dernier jeu
2022 : Gran Turismo 7
Plate-forme
PlayStation, PlayStation 2, PlayStation 3, PlayStation Portable, PlayStation 4, PlayStation 5
Ventes
90 000 000
Site web
gran-turismo.com
modifier - modifier le code - modifier Wikidata"
54,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,"Super Mario 3D Land
Logo du jeu
Développeur
Nintendo EAD Tokyo
Brownie Brown
Éditeur
Nintendo
Réalisateur
Yoshiaki Koizumi (producteur)
Shigeru Miyamoto et Takashi Tezuka (producteurs généraux)
Satoru Iwata (producteur exécutif)
Koichi Hayashida (directeur)
Compositeur
Mahito Yokota
Producteur
Yoshiaki Koizumi
Date de sortie
Nintendo 3DS
JAP : 3 novembre 2011
AN : 13 novembre 2011
EUR : 18 novembre 2011
AUS : 24 novembre 2011

Nintendo eShop
EUR : 4 octobre 2012
AN : 18 octobre 2012
JAP : 1er novembre 2012
Genre
Plates-formes
Mode de jeu
Un joueur
Plateforme
Nintendo 3DS
Langue
Textes en français
Évaluation
ACB : G ?
CERO : A ?
ESRB : E ?
PEGI : 3 ?
Site web
supermario3dland.nintendo.com, www.nintendo.co.jp/3ds/arej
Super Mario
Super Mario Galaxy 2 (2010) Super Mario 3D World (2013)
modifier - modifier le code - modifier Wikidata"
55,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,Borne de présentation du jeu en janvier 2008.
56,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,"Pour le jeu vidéo de 2022, voir Call of Duty: Modern Warfare II."
57,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,"Grand Theft Auto IV
Logo officiel de Grand Theft Auto IV.
Développeur
Rockstar North
Éditeur
Rockstar Games
Distributeur
Take-Two Interactive
Réalisateur
Simon Lashley, Keith McLeman1
Scénariste
Dan Houser
Rupert Humphries
Compositeur
Michael Hunter
Producteur
Leslie Benzies
Début du projet
20042
Date de sortie
PlayStation 3, Xbox 3603,4
INT : 29 avril 2008
JAP : 30 octobre 2008

Microsoft Windows5
AN : 2 décembre 2008
PAL : 3 décembre 2008
JAP : 20 mars 2009

Rockstar Games Launcher
INT : 19 mars 2020
Genre
Action-aventure, conduite, tir à la troisième personne
Mode de jeu
Un joueur, multijoueur (16 joueurs maximum sur consoles PS33 et Xbox 3604, 32 joueurs maximum sur Ordinateur6)
Plateforme
PlayStation 3, Xbox 360, Windows et Xbox One (rétrocompatible7)
Langue
Sous-titres et menus : Français
Dialogues : Anglais
Moteur
RAGE
Euphoria (moteur des mouvements)8
Version
Playstation 3 : 1.07
Xbox 360 : 1.04
Ordinateur : 1.0.8.0
Évaluation
ACB : MA15+ ?9
BBFC : 18 ?10,11
ESRB : M ?
OFLC (NZ) : R18 ?12
PEGI : 18+ ?13
Site web
www.rockstargames.com/IV
Grand Theft Auto
San Andreas (2004) GTA V (2013)
modifier - modifier le code - modifier Wikidata"
58,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,"↑ Dans le catalogue de titres Super Nintendo pour le Nintendo Switch Online.
↑ « Test de Super Mario Bros. 2 » [archive], Jeuxvideo.com
↑ « Super Mario All-Stars » [archive], Jeuxvideo.com
↑ (en) « Super Mario All-Stars » [archive], AllGame
↑ « Charts : Les ventes de Nintendo au Japon » [archive]
↑ James O'Malley, « 30 Best-Selling Super Mario Games of All Time on the Plumber's 30th Birthday » [archive], Gizmodo, Univision Communications, 11 septembre 2015 (consulté le 25 avril 2020)
↑ « Super Mario All-Stars / Super Mario World » [archive], sur GameFAQs
↑ « Super Mario All-Stars - Edition 25e anniversaire » [archive], Jeuxvideo.com
↑ (en) « Super Mario All-Stars Limited Edition Review » [archive], IGN
↑ « Super Mario Advance 4 : Super Mario Bros. 3 » [archive], Jeuxvideo.com.
↑ « Abonnés Nintendo Switch Online, la compilation Super Mario All-Stars vous attend sur la console virtuelle SNES de la Switch » [archive], sur Puissance Nintendo, 3 septembre 2020 (consulté le 3 septembre 2020)"
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,no_data
