,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,Support_JVC
231,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61,17.0,421.0,17.1,7.0,Cartouche
232,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,19.0,358.0,17.7,3.0,iDensity
234,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1.78,1.39,1.1,0.3,4.58,18.0,525.0,17.5,7.0,Cartouche
235,Splatoon,WiiU,2015,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57,17.0,307.0,17.7,7.0,iDensity
237,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.19,0.92,0.01,0.42,4.53,18.0,147.0,18.3,3.0,Blu-Ray DVD
238,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,17.0,12.0,18.4,3.0,DVD
240,Madden NFL 07,PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,11.0,1.0,15.0,3.0,DVD
241,Spider-Man: The Movie,PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48,15.0,244.0,16.5,7.0,New Game Media iDensity Google Play Cartouche App Store DVD Blu-Ray eShop
242,Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47,15.0,50.0,16.8,3.0,Cartouche
245,God of War,PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,18.0,547.0,18.3,18.0,DVD
247,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42,13.0,12.0,14.8,12.0,New Game Media
248,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41,16.0,83.0,17.0,3.0,DVD
250,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39,11.0,55.0,18.9,16.0,DVD Blu-Ray
252,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37,15.0,34.0,15.8,7.0,iDensity
253,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35,14.0,293.0,16.0,18.0,Blu-Ray
254,Sonic the Hedgehog,GEN,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34,9.0,119.0,12.8,12.0,CD Blu-Ray DVD
255,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33,18.0,947.0,18.9,3.0,DVD
256,FIFA 14,X360,2013,Sports,Electronic Arts,0.92,2.93,0.01,0.46,4.31,17.0,13.0,15.3,3.0,New Game Media Blu-Ray App Store Cartouche Google Play DVD UMD
258,Asteroids,2600,1980,Shooter,Atari,4.0,0.26,0.0,0.05,4.31,11.0,0.0,15.0,3.0,Cartouche CD
259,Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31,18.0,1371.0,17.0,16.0,DVD
260,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2.64,1.2,0.03,0.39,4.26,17.0,359.0,14.8,16.0,Blu-Ray
